uuid;id_evolution;id_voie_provisoire_gauche;id_voie_provisoire_droite;cleabs;geometrie;sens_de_circulation;type_d_adressage;prive;importance;nature;nombre_de_voies;acces;identifiant_fpb_voie_droite;identifiant_fpb_voie_gauche;commentaire_collecteur;ordrefinevol;wkt
be088389560e40f1ac39e75ca87f1328;df41775217dcb05a4cf11cbaf2a9289c;;;TRONROUT0000000002372765;01020000000600000066666666C8211B41333333D34887584100000000C0211B41CDCCCCEC468758419A999999B3211B41000000804587584166666666AA211B41333333D344875841CDCCCCCCA4211B4133333393448758419A99999991211B413333333344875841;;;;;;;;332430210;332430210;;2;LINESTRING(444530.1 6429987.3,444528 6429979.7,444524.9 6429974,444522.6 6429971.3,444521.2 6429970.3,444516.4 6429968.8)
f411516d87fae338e79be15b136ae49c;df41775217dcb05a4cf11cbaf2a9289c;;;TRONROUT0000000002372762;0102000000020000009A99999991211B413333333344875841CDCCCCCC62211B41333333733F875841;;;;;;;;332430210;332430210;;2;LINESTRING(444516.4 6429968.8,444504.7 6429949.8)
6a9db3719be2631695e967d3181e73f6;31c674d1ee40559afaeae5b6f5bf6652;;;TRONROUT0000000002375035;0102000000040000009A99999927F21A41666666665787584100000000A4F21A4166666626548758419A999999D9F21A41CDCCCC2C52875841CDCCCCCC1AF31A41000000E04E875841;;;;;;;;33174B112;33174B112;;;LINESTRING(441481.9 6430045.6,441513 6430032.6,441526.4 6430024.7,441542.7 6430011.5)
197bc25028de3ad65d11aee9f15b35df;31c674d1ee40559afaeae5b6f5bf6652;;;TRONROUT0000000002374608;01020000000A0000003333333395F01A41CDCCCC4C5A87584133333333EBF01A41CDCCCC2C59875841333333331BF11A419A9999F958875841333333334BF11A413333333359875841000000006EF11A419A999959598758410000000096F11A41CDCCCC4C5987584133333333BBF11A410000002059875841CDCCCCCCE0F11A41CDCCCCAC588758419A99999903F21A41CDCCCC2C588758419A99999927F21A416666666657875841;;;;;;;;33174B112;33174B112;;;LINESTRING(441381.3 6430057.2,441402.8 6430052.7,441414.8 6430051.9,441426.8 6430052.8,441435.5 6430053.4,441445.5 6430053.2,441454.8 6430052.5,441464.2 6430050.7,441472.9 6430048.7,441481.9 6430045.6)
44da4323db39920dbea152d577cd58e9;31c674d1ee40559afaeae5b6f5bf6652;;;TRONROUT0000000002373673;010200000004000000CDCCCCCC1AF31A41000000E04E8758413333333367F31A41666666A64A87584166666666B6F31A41CDCCCCCC468758419A9999991DF41A41333333D342875841;;;;;;;;33174B112;33174B112;;;LINESTRING(441542.7 6430011.5,441561.8 6429994.6,441581.6 6429979.2,441607.4 6429963.3)
3367f65cf4dd2e34ee5425d8c98e0d99;2454ef2dc0d9a7faa0415700217029b2;;;TRONROUT0000000002374609;0102000000080000003333333361E51A41000000808E8758410000000016E51A41000000C08A87584100000000D2E41A41CDCCCC2C878758419A9999999DE41A413333335384875841CDCCCCCC78E41A4133333393828758416666666654E41A41CDCCCC4C818758413333333323E41A41333333338087584133333333FDE31A419A9999997F875841;;;;;;;;33174B082;33174B055;;;LINESTRING(440664.3 6430266,440645.5 6430251,440628.5 6430236.7,440615.4 6430225.3,440606.2 6430218.3,440597.1 6430213.2,440584.8 6430208.8,440575.3 6430206.4)
f7247668a1a9cb740a316a26fddb5efe;2454ef2dc0d9a7faa0415700217029b2;;;TRONROUT0000000002374606;01020000000B0000003333333361E51A41000000808E8758413333333385E51A41666666C68F875841CDCCCCCCC2E51A4133333373928758419A99999929E61A419A9999F995875841000000008EE61A41333333B39987584133333333F3E61A419A9999399D8758419A9999993DE71A41000000609F8758419A9999996FE71A4133333373A087584100000000C4E71A419A999959A28758419A9999993DE81A41CDCCCC4CA48758413333333353E81A41CDCCCC8CA4875841;;;;;;;;33174B055;33174B082;;;LINESTRING(440664.3 6430266,440673.3 6430271.1,440688.7 6430281.8,440714.4 6430295.9,440739.5 6430310.8,440764.8 6430324.9,440783.4 6430333.5,440795.9 6430337.8,440817 6430345.4,440847.4 6430353.2,440852.8 6430354.2)
0abc762628baa8441a23ebf96721fa41;bf862389b681abba8d7385e4882d3bcc;6c6b7b336d16b0353f1e023e7110a7a8;6c6b7b336d16b0353f1e023e7110a7a8;TRONROUT0000000002480262;01020000000B00000066666666985B1741333333330ACE5841CDCCCCCC7E5B17419A9999790ACE5841CDCCCCCC5E5B17419A9999D90ACE5841CDCCCCCC305B1741333333F30BCE58419A999999015B1741CDCCCCCC0DCE584166666666DA5A17419A9999990FCE584100000000B25A17413333337311CE5841666666668C5A17419A99999913CE5841CDCCCCCC6C5A1741CDCCCCEC15CE5841666666665E5A17416666662617CE584133333333515A17413333331318CE5841;;;;;;;;335440115;335440115;;2;LINESTRING(382694.1 6502440.8,382687.7 6502441.9,382679.7 6502443.4,382668.2 6502447.8,382656.4 6502455.2,382646.6 6502462.4,382636.5 6502469.8,382627.1 6502478.4,382619.2 6502487.7,382615.6 6502492.6,382612.3 6502496.3)
71a35cf1bd3f0502d8a4f1a64db129bd;bf862389b681abba8d7385e4882d3bcc;a1b48f526b94f4f02064a4e3eaf3543a;a1b48f526b94f4f02064a4e3eaf3543a;TRONROUT0000000002480204;010200000004000000333333336F5B17419A99991905CE5841333333335F5B17419A99995905CE584100000000365B1741666666E605CE584133333333FF5A17413333337306CE5841;;;;;;;;335440115;335440115;;2;LINESTRING(382683.8 6502420.4,382679.8 6502421.4,382669.5 6502423.6,382655.8 6502425.8)
b94706e3b0f745077a29fea22b028242;bf862389b681abba8d7385e4882d3bcc;a1b48f526b94f4f02064a4e3eaf3543a;a1b48f526b94f4f02064a4e3eaf3543a;TRONROUT0000000002480190;01020000000600000066666666985B1741333333330ACE584166666666905B1741CDCCCC0C09CE58419A999999835B1741CDCCCC6C07CE584100000000785B17410000002006CE58419A9999996F5B17416666664605CE5841333333336F5B17419A99991905CE5841;;;;;;;;335440115;335440115;;2;LINESTRING(382694.1 6502440.8,382692.1 6502436.2,382688.9 6502429.7,382686 6502424.5,382683.9 6502421.1,382683.8 6502420.4)
